author,title,year,journal
Hsu-Wen Huang & Kara D. Federmeier,Imaginative language: What event-related potentials have revealed about the nature and source of concreteness effects,2015,LANGUAGE AND LINGUISTICS
San-Yuan Lin & Su-Ling Yeh,Unconscious grouping of Chinese characters: Evidence from object-based attention,2015,LANGUAGE AND LINGUISTICS
Chia-Ying Lee & Chun-Hsien Hsu & Ya-Ning Chang & Wei-Fan Chen & Pei-Chun Chao,The feedback consistency effect in Chinese character recognition: Evidence from a psycholinguistic norm,2015,LANGUAGE AND LINGUISTICS
Po-Heng Chen & Jie-Li Tsai,The influence of syntactic category and semantic constraints on lexical ambiguity resolution: An eye movement study of processing Chinese homographs,2015,LANGUAGE AND LINGUISTICS
Yuchun Chang & Chien-Jer Charles Lin & Kathleen Ahrens,Conventionalization of lexical meanings and the role of metaphoricity: Processing of metaphorical polysemy using a cross-modal lexical priming task,2015,LANGUAGE AND LINGUISTICS
Zih-Yu Shen & Yi-Ting Tsai & Chia-Lin Lee,Joint influence of metaphor familiarity and mental imagery ability on action metaphor comprehension: An event-related potential study,2015,LANGUAGE AND LINGUISTICS
Jo-Wang Lin,[Featured article] Negation under yiqian 'before' in Mandarin Chinese and cross-linguistic variation in expletive negation,2016,LANGUAGE AND LINGUISTICS
Edith Aldridge,Ergativity from subjunctive in Austronesian languages,2016,LANGUAGE AND LINGUISTICS
Yi-Shiuan Chiu & Wen-Jui Kuo & Chia-Ying Lee & Ovid J. L. Tzeng,The explicit and implicit phonological processing of Chinese characters and words in Taiwanese deaf signers,2016,LANGUAGE AND LINGUISTICS
Jongbok Kim,Copular constructions and asymmetries in the specificational pseudocleft constructions in Korean,2016,LANGUAGE AND LINGUISTICS
Hongyong Liu & Xiao Li,On evidentiality in Nuosu Yi,2016,LANGUAGE AND LINGUISTICS
Weera Ostapirat,Issues in the reconstruction and affiliation of Proto-Miao-Yao,2016,LANGUAGE AND LINGUISTICS
Rose R.-W. Lee & Ovid J.-L. Tzeng,[Featured article] Neural bilingualism: A new look at an old problem,2016,LANGUAGE AND LINGUISTICS
Xiaolei Fan,Reconstruction of the semantic-development path of the modal verb hui (會) with crosslinguisitic and dialectal evidence,2016,LANGUAGE AND LINGUISTICS
Woosun Shin,On the Sino-Korean coda /-l/,2016,LANGUAGE AND LINGUISTICS
Pei-chuan Wei,"The historical development of the experiential aspect ""guo""",2016,LANGUAGE AND LINGUISTICS
Martin Haspelmath,[Featured article] The serial verb construction: Comparative concept and cross-linguistic generalizations,2016,LANGUAGE AND LINGUISTICS
Xitao Fu,Meaning prototype: A study of '110' in Chinese,2016,LANGUAGE AND LINGUISTICS
Nathaniel Sims,Towards a more comprehensive understanding of Qiang dialectology,2016,LANGUAGE AND LINGUISTICS
Shu-Chuan Tseng,/kwo/ and /y/ in Taiwan Mandarin: Social factors and phonetic variation,2016,LANGUAGE AND LINGUISTICS
Shuangcheng Wang & Keith Dede,Negation in the Xīnīng dialect,2016,LANGUAGE AND LINGUISTICS
C.-T. James Huang,[Featured article] The syntax and semantics of prenominals: Construction or composition?,2016,LANGUAGE AND LINGUISTICS
Wai-Sum Lee,Articulatory-acoustical relationship in Cantonese vowels,2016,LANGUAGE AND LINGUISTICS
Yu-An Lu,Testing the roles of distribution and alternation in phonological relationships,2016,LANGUAGE AND LINGUISTICS
Rui Peng,Chinese descriptive pivotal construction: Taxonomy and prototypicality,2016,LANGUAGE AND LINGUISTICS
Defu Shi,The functions of proclitic ab and ghab in Hmub,2016,LANGUAGE AND LINGUISTICS
Mamoru Saito,[Featured article] Japanese wh-phrases as operators with unspecified quantificational force,2017,LANGUAGE AND LINGUISTICS
One-Soon Her,Structure of numerals and classifiers in Chinese: Historical and typological perspectives and cross-linguistic implications ,2017,LANGUAGE AND LINGUISTICS
Scholastica Wai Sze Lam,Acquisition of Chinese relative clauses by deaf children in Hong Kong,2017,LANGUAGE AND LINGUISTICS
Hanbo Liao,"Proto-Tai reconstruction of 'maternal grandmother' revisited: *na:jA, *ta:jA or *ta:jB?",2017,LANGUAGE AND LINGUISTICS
Huibin Zhuang,Fake attributives in Chinese: A prosodic grammar perspective,2017,LANGUAGE AND LINGUISTICS
Robert Blust,The Lowland Kenyah posterior implosives: A typological reversal,2017,LANGUAGE AND LINGUISTICS
Ying Fan,Excessive serial verb construction: A quasi-resultative serial verb construction in Mandarin Chinese,2017,LANGUAGE AND LINGUISTICS
Ryoichiro Kobayashi,Is it syntactic or pragmatic? A hybrid analysis for LF-intervention effects,2017,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,Some notes on animals and plants for Proto-Austronesian speakers,2017,LANGUAGE AND LINGUISTICS
Chin-Ting Jimbo Liu & Li-mei Chen,Processing conjunctive entailment of disjunction,2017,LANGUAGE AND LINGUISTICS
Mizuho Tamaji,Development of 'say'-derived constructions: the case of tote and totemo,2017,LANGUAGE AND LINGUISTICS
Jia-yi Chen & Dong-Bo Hsu,Spanish learners' acquisition of comprehension strategies in Mandarin Chinese,2017,LANGUAGE AND LINGUISTICS
Katia Chirkova & Dehe Wang,Verbal aspect in Ganluo Ersu,2017,LANGUAGE AND LINGUISTICS
Zhaojin Du & Baoya Chen,Markedness of phonological elements and tone match in Chinese-Uyghur contact,2017,LANGUAGE AND LINGUISTICS
Takahiro Higashi & Yunjia Wang,Cause of Tone 4 sandhi in Beijing Mandarin and its relationship with lexical stress,2017,LANGUAGE AND LINGUISTICS
Xiaojie Yin & Jiahe Zhang,On the disyllabic modularization of the monosyllabic words,2017,LANGUAGE AND LINGUISTICS
Huili Zhang & Haifeng Duan & Haihua Pan,Focus-Stress Principle and ba construction,2017,LANGUAGE AND LINGUISTICS
Haoxi Deng,"[Book review] Classifier Structures in Mandarin Chinese By Niina Ning Zhang. Berlin: De Gruyter Mouton, 2013",2017,LANGUAGE AND LINGUISTICS
Guglielmo Cinque,[Featured article] On the status of functional categories (heads and phrases),2017,LANGUAGE AND LINGUISTICS
Robert A. Blust & Victoria Chen,"The pitfalls of negative evidence:  'Nuclear Austronesian',  'Ergative Austronesian', and their progeny",2017,LANGUAGE AND LINGUISTICS
Liquan Liu & Ao Chen & René Kager,Perception of tones in Mandarin and Dutch adult listeners,2017,LANGUAGE AND LINGUISTICS
Changsong Wang,"On some mysteries, asymmetries and derivation of potential de construction in Chinese",2017,LANGUAGE AND LINGUISTICS
Yan Huang,[Featured article] Unarticulated constituents and neo-Gricean pragmatics,2018,LANGUAGE AND LINGUISTICS
Abdullah S. Al-Dobaian,Arabic synthetic compounds,2018,LANGUAGE AND LINGUISTICS
Yu-Yun Chang & Shu-Kai Hsieh,Filtered collocations as features in verbal polysemy disambiguation: A case study of the Chinese verb kao 'bake',2018,LANGUAGE AND LINGUISTICS
Li Liu & Hin Tat Cheung,The partial productivity of schematic idioms in Chinese: Evidence from speakers' judgment,2018,LANGUAGE AND LINGUISTICS
Yeu-Ting Liu,Linguistic relativity in L2 acquisition: Chinese-English bilinguals' reading of Chinese counterfactual statements,2018,LANGUAGE AND LINGUISTICS
Shu-ing Shyu,The scope of EVEN: Evidence from Mandarin Chinese,2018,LANGUAGE AND LINGUISTICS
Thoai Nu-Linh Ton,Ellipsis of terms of address and reference in casual communication events in Vietnamese,2018,LANGUAGE AND LINGUISTICS
Huei-Ling Lin,Benefactive and malefactive constructions in Taiwan Southern Min,2018,LANGUAGE AND LINGUISTICS
Hui-shan Lin,CV reduplication in Isbukun Bunun: Variable RED placements,2018,LANGUAGE AND LINGUISTICS
Ting-Chi Wei,Fragment questions in Mandarin Chinese: Topic movement and pied-piping,2018,LANGUAGE AND LINGUISTICS
Jennifer Shuiying Yao,"NP interpretation and disposal variations among the Mandarin, Cantonese, and Shaoxing dialects",2018,LANGUAGE AND LINGUISTICS
Yang Zhou,Exploring the emergence of the postverbal sin1 先 in Cantonese,2018,LANGUAGE AND LINGUISTICS
Luosha Bi & Haihua Pan,On subject-oriented resultatives in Mandarin,2018,LANGUAGE AND LINGUISTICS
Xiufang Dong,Patterns and functions of verbal disyllabification,2018,LANGUAGE AND LINGUISTICS
Xiaolei Fan,The verbal-LE variants in Xingtai dialect,2018,LANGUAGE AND LINGUISTICS
Yimin Sheng,Influence of the southern migration of the Song Dynasty on Wu dialects via Lin'an Guanhua: Lexical and syntactic evidence,2018,LANGUAGE AND LINGUISTICS
Xiangdong Xing,Research into the inheritance and development of Jin dialects on vernacular in Yuan Dynasty from several grammatical phenomena,2018,LANGUAGE AND LINGUISTICS
José Andrés Alonso de la Fuente & Guillaume Jacques,Associated motion in Manchu in typological perspective,2018,LANGUAGE AND LINGUISTICS
Chan-Chia Hsu & Shu-Kai Hsieh,Identifying lexical bundles in Chinese: Methodological issues and an exploratory data analysis,2018,LANGUAGE AND LINGUISTICS
Huei-ling Lai,Metaphor in Hakka proverbs: Linguistic and cultural constraints,2018,LANGUAGE AND LINGUISTICS
Masaki Nohara,Old Chinese “west”: *snˤər,2018,LANGUAGE AND LINGUISTICS
Koji Tanno,The role of discourse strategies in the grammaticalization of the Japanese discourse marker dakara,2018,LANGUAGE AND LINGUISTICS
Hsiao-hung Iris Wu,Deriving sluicing-like constructions in Isbukun Bunun,2018,LANGUAGE AND LINGUISTICS
Ik-sang Eom,Preface,2019,LANGUAGE AND LINGUISTICS
Fang Hu & Feng Ling,Fricative vowels as an intermediate stage of vowel apicalization,2019,LANGUAGE AND LINGUISTICS
Yasunori Takahashi,The phonological status of Low tones in Shanghai tone sandhi: Default tones or boundary tones?,2019,LANGUAGE AND LINGUISTICS
Aishu Chen,Interactions between prosody and morphosyntax in Fuzhou VO phrases,2019,LANGUAGE AND LINGUISTICS
Jeeyoung Peck & Jingxia Lin,Semantic constraint on preposition incorporation of postverbal locative PPs in Mandarin Chinese,2019,LANGUAGE AND LINGUISTICS
Jeeyoung Peck,Preface,2019,LANGUAGE AND LINGUISTICS
Ik-sang Eom,The problem of the affinity between Korean and Chinese and the relation of the two languages,2019,LANGUAGE AND LINGUISTICS
Dawei Jin & Jun Chen,"Scalarity, degree reading and maximality in a Mandarin numeral construction",2019,LANGUAGE AND LINGUISTICS
Meichun Liu & Juiching Chang,From caused-motion to spatial configuration: Placement verbs in Mandarin,2019,LANGUAGE AND LINGUISTICS
Shichang Wang & Chu-Ren Huang & Yao Yao & Angel Chan,The effect of morphological structure on semantic transparency ratings,2019,LANGUAGE AND LINGUISTICS
Zhiguo Xie & Qiongpeng Luo,Degree intensifiers as expressives in Mandarin Chinese,2019,LANGUAGE AND LINGUISTICS
Hiroyuki Akitani,The vowel *ə in Proto Northern Min,2019,LANGUAGE AND LINGUISTICS
Zhongmin Chen,The pronunciations of the cong xie cheng and chuang initials of MC and the Old Jiangdong dialect,2019,LANGUAGE AND LINGUISTICS
Chuansheng He & Dandan Tan,On the constituenthood of numeral-verbal classifier combinations in Mandarin Chinese,2019,LANGUAGE AND LINGUISTICS
Suhua Hu & Jing Zhao,Ditransitive constructions and the other three-argument constructions in Nuosu Yi,2019,LANGUAGE AND LINGUISTICS
Sue Lin,Types of lexicalization in motion events in early Shanghai dialect,2019,LANGUAGE AND LINGUISTICS
Mingyuan Shao,The copula verbs in Old Tibetan,2019,LANGUAGE AND LINGUISTICS
Qianzi Tian & Jackson T.-S. Sun,On tense and aspect in the Gexi Horpa verb,2019,LANGUAGE AND LINGUISTICS
Futong Zhang & Xuping Li,On the semantic function of [numeral+classifier+zhi/de+noun]: A historical perspective,2019,LANGUAGE AND LINGUISTICS
Chenlei Zhou,The origin of the dative-accusative marker xa in Gan-Qing dialects,2019,LANGUAGE AND LINGUISTICS
Guillaume Jacques,Egophoric marking and person indexation in Japhug,2019,LANGUAGE AND LINGUISTICS
Yu-An Lu,The effect of dialectal variation on word recognition: A case from Taiwan Southern Min,2019,LANGUAGE AND LINGUISTICS
Shu-chen Ou,The role of lexical stress in spoken English word recognition by listeners of English and Taiwan Mandarin,2019,LANGUAGE AND LINGUISTICS
Claire Saillard,Adjectival modification in Truku Seediq,2019,LANGUAGE AND LINGUISTICS
Jianming Wu,The inventory structure of Person in the Chinese dialect of Puxian,2019,LANGUAGE AND LINGUISTICS
Wuxi Zheng,Negation in Longxi Qiang,2019,LANGUAGE AND LINGUISTICS
One-Soon Her & Hui-Chin Tsai,"Left is right, right is not: On the constituency of the classifier phrase in Chinese",2020,LANGUAGE AND LINGUISTICS
Hye-Kyung Lee,The use of the Korean first person possessive pronoun nay vis-à-vis wuli,2020,LANGUAGE AND LINGUISTICS
Sang-Im Lee-Kim,Tone-induced split in stop category mapping by Korean learners of Mandarin Chinese,2020,LANGUAGE AND LINGUISTICS
Joanna Ut-Seong Sio & Sze-Wing Tang,Two types of aa3-nominals in Cantonese,2020,LANGUAGE AND LINGUISTICS
Yufang Wang & Shu-ing Shyu & Wayne Schams & Hsun-Chen Chen,Mandarin Chinese buguo ('but') as a metacoherence marker in TV/radio interview talks,2020,LANGUAGE AND LINGUISTICS
Chenlei Zhou,The structure of Num+CL in the Zhoútún dialect: Issues induced by language contact,2020,LANGUAGE AND LINGUISTICS
Xun Gong,Uvulars and uvularization in Tangut phonology,2020,LANGUAGE AND LINGUISTICS
Jing Jin,A revisit to the [Num-Cl-Modifier-de-N]/ [Modifier-de-Num-Cl-N] variation in Mandarin Chinese,2020,LANGUAGE AND LINGUISTICS
Seng-Hian Lau & Wei-Tien Dylan Tsai,A comparative study of how and why in Taiwan Southern Min and Mandarin Chinese,2020,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Synchronic and diachronic phonology of Lavïa: A Wa language of Yunnan and Myanmar,2020,LANGUAGE AND LINGUISTICS
Ting Wang & Jun Liu & Yong-hun Lee & Yong-cheol Lee,The interaction between tone and prosodic focus in Mandarin Chinese,2020,LANGUAGE AND LINGUISTICS
Changguk Yim,Light verb ellipsis constructions in Korean,2020,LANGUAGE AND LINGUISTICS
Meng-Ying Chen & Miao-Ling Hsieh & One-Soon Her,Distinguishing classifiers in Taiwanese Southern Min,2020,LANGUAGE AND LINGUISTICS
Hsiuhsueh Liu,On triggers and derivation trail of vowel change in Southern Min,2020,LANGUAGE AND LINGUISTICS
Ye Yuan,A non-movement cartographic template approach to Chinese in-situ and fronting wh-adjuncts,2020,LANGUAGE AND LINGUISTICS
Jingfen Zhang,Variations and evolutions of the four-falling-tone system in the Chaoyang area,2020,LANGUAGE AND LINGUISTICS
Marc Allassonnière-Tang & One-Soon Her,"Numeral base, numeral classifier, and noun: Word order harmonization",2020,LANGUAGE AND LINGUISTICS
Kaori Furuya,Structure and inference in Japanese right dislocation,2020,LANGUAGE AND LINGUISTICS
Julie Lefort,On the reflexive-possessive markers in the Dongxiang language,2020,LANGUAGE AND LINGUISTICS
Chao Li,Causer and causee as two higher-ranked thematic roles,2020,LANGUAGE AND LINGUISTICS
Chin-Ting Liu & Li-mei Chen,Testing the applicability of third tone sandhi at the intonation boundary: The case of the monosyllabic topic,2020,LANGUAGE AND LINGUISTICS
Jiajuan Xiong & Chu-Ren Huang,Plurality and definiteness in Chengdu Chinese,2020,LANGUAGE AND LINGUISTICS
Gregory D. S. Anderson & Bikram Jora,"Introduction to the templatic verb morphology of Birhor (Birhoɽ), a Kherwarian Munda language",2021,LANGUAGE AND LINGUISTICS
Marc Miyake,"Studies in Pyu phonology, I: Onsets",2021,LANGUAGE AND LINGUISTICS
Jonathan Smith,Diverse sources and an internal foundation for voiced onsets in Northern Mǐn,2021,LANGUAGE AND LINGUISTICS
Cheng-Yu Edwin Tsai,Exhaustivity and bare numeral phrases in Mandarin,2021,LANGUAGE AND LINGUISTICS
Hongling Xiao & Fang Li & Ted J.M. Sanders & Wilbert P.M.S. Spooren,"How subjective are Mandarin reason connectives? A corpus study of spontaneous conversation, microblog and newspaper discourse",2021,LANGUAGE AND LINGUISTICS
Mikyung Ahn & Foong Ha Yap,On the relationship between middles and passives: A polyfunctional analysis of -eci in Contemporary Korean,2021,LANGUAGE AND LINGUISTICS
Yunchuan Chen,Anaphor reconstruction in Japanese relative clauses: An experimental study,2021,LANGUAGE AND LINGUISTICS
I-Ta Chris Hsieh,On reciprocal degree constructions: A view from Mandarin,2021,LANGUAGE AND LINGUISTICS
Arum Kang,Marking definiteness in an articleless language: The role of the domain restrictor KU in Korean,2021,LANGUAGE AND LINGUISTICS
Yunfan Lai,Come is the new go : The evolution of stem alternation of basic motion verbs in Khroskyabs,2021,LANGUAGE AND LINGUISTICS
Sixing Cui,A study of stress patterns and stylistic attributes of Chinese reduplication,2021,LANGUAGE AND LINGUISTICS
Likun He & Yan Liu,Syllable reduction and syllable coarticulation in Naxi: On the path from monosyllables to suprasegments,2021,LANGUAGE AND LINGUISTICS
Saina Wuyun & Haihua Pan,The discoursal accessibility of semantic entities in Chinese discourse,2021,LANGUAGE AND LINGUISTICS
Jui-chuan Yeh,On the syntactic and semantic characteristics of the bun1gi5 -related causative constructions in modern Taiwanese Hakka,2021,LANGUAGE AND LINGUISTICS
Hsiu-Chen Daphne Liao,A unified semantic analysis of Chinese adverbial ziji,2021,LANGUAGE AND LINGUISTICS
Te-hsin Liu & Lily I-Wen Su,"Chinese idioms as constructions: Frequency, semantic tran sparency and their processing",2021,LANGUAGE AND LINGUISTICS
Hiroyuki Suzuki & Lozong Lhamo,"/ka-/ negative prefix of Choswateng Tibetan of Khams (Shangri-La, Yunnan)",2021,LANGUAGE AND LINGUISTICS
Hongchen Wu & Jiwon Yun,Processing of the Mandarin polarity item renhe 'any',2021,LANGUAGE AND LINGUISTICS
Eunson Yoo,Korean causal markers ‑ese and ‑nikka in clause-initial and final positions in relation to the sequence of Mandarin Chinese yinwei,2021,LANGUAGE AND LINGUISTICS
Lian-Hee Wee & Feng Wang & Yuan Liang,Preface,2022,LANGUAGE AND LINGUISTICS
Jiangping Kong,"Active Syllable Average Limit 1,000 (音涯一千): The phonemic cognitive ability of humans",2022,LANGUAGE AND LINGUISTICS
Ling Zhang,Syllable isochrony and the prosodic features of stop syllables in Cantonese,2022,LANGUAGE AND LINGUISTICS
Aijun Li & Zhiqiang Li,Prosodic realization of tonal target and F0 peak alignment in Mandarin neutral tone,2022,LANGUAGE AND LINGUISTICS
Yuan Liang & Lian-Hee Wee,Melodic-prosodic duality of the syllable: An application to Chinese,2022,LANGUAGE AND LINGUISTICS
Xuan Li & Feng Wang,A preliminary study on nasalization and phonation: The case of Bai,2022,LANGUAGE AND LINGUISTICS
Jason William Lobel,"In Memoriam: Dr. Robert A. Blust, 1940–2022",2022,LANGUAGE AND LINGUISTICS
Siaw-Fong Chung,"Emotion terms in Malay: Patterns in [meN-], [meN‑ -i], [meN‑ -kan], and [‑kan]-only forms",2022,LANGUAGE AND LINGUISTICS
Hongyuan Dong,Temporal partitions in the grammaticalization of imperfective aspect markers: A formal semantic approach,2022,LANGUAGE AND LINGUISTICS
Jesse P. Gates & Sami Honkasalo & Yunfan Lai,"From transitive to intransitive and voiceless to voiced in Proto-Sino-Tibetan: New evidence from Stau, Geshiza, and Khroskyabs",2022,LANGUAGE AND LINGUISTICS
Pascal Gerber,Verb stem alternation in Gongduk: Synchronic and diachronic analysis,2022,LANGUAGE AND LINGUISTICS
Yuli Feng & Haihua Pan,Remarks on the maximality approach to Mandarin dou and other related issues,2022,LANGUAGE AND LINGUISTICS
Jonathan Smith,Tangut uvularization and the devil in the Chinese details,2022,LANGUAGE AND LINGUISTICS
Niina Ning Zhang,Defective incorporating verbs in Mandarin,2022,LANGUAGE AND LINGUISTICS
Chenlei Zhou,From  'two' to a comitative-instrumental case marker: A regional innovation in the Gansu-Qinghai linguistic area,2022,LANGUAGE AND LINGUISTICS
Xiaolei Fan & Kin Wing Kevin Chan,Grammatical properties of zo 咗 in Hong Kong Cantonese: A comparative study with le1 了1 in Beijing Mandarin,2022,LANGUAGE AND LINGUISTICS
Yanxuan Huang & Dongfang Wen,The multifunctionality and grammaticalization of tioʔ5 著 in the Jieyang Min dialect: Also on the language contact of Min and Hakka in Eastern Guangdong,2022,LANGUAGE AND LINGUISTICS
Wei-Ju Kuo,On the grammaticalization and lexicalization of the classical Chinese saying verb dao 道,2022,LANGUAGE AND LINGUISTICS
Yuhang Xu,The characteristics and sources of the durative aspectual markers in Haifeng Min dialects,2022,LANGUAGE AND LINGUISTICS
Boon Hock Yew,On the sources and developments of qie 且 in Old Chinese,2022,LANGUAGE AND LINGUISTICS
Qingwen Zhang & Jia Jin,Semantic definiteness or pragmatic definiteness: Evidence from two interpretations of Cl-NPs in the Chenghai dialect,2022,LANGUAGE AND LINGUISTICS
Jung-Im Chang,The origin and the development of 焉 yān in Old Chinese,2022,LANGUAGE AND LINGUISTICS
Jie Cheng,The ambiguity with pa-nominalization in Lhasa Tibetan,2022,LANGUAGE AND LINGUISTICS
Miao-Ling Hsieh & Su-Ying Hsiao,On the “one+verbal classifier” sequence as a delimitative aspect marker in Taiwanese Southern Min,2022,LANGUAGE AND LINGUISTICS
Chinfa Lien,Formation and constraints of scalar structure in Taiwanese Southern Min,2022,LANGUAGE AND LINGUISTICS
Haiping Long & Xianhui Wang & Lei Wang, Formation of Modern Chinese speech-quotative nǐ shuō 'you say' and feedback-seeking nǐ shuō 'you tell me',2022,LANGUAGE AND LINGUISTICS
 ,Acknowledgements,2022,LANGUAGE AND LINGUISTICS
Qiongpeng Luo & Zhiguo Xie & Xiao Li,Preface,2023,LANGUAGE AND LINGUISTICS
Qiongpeng Luo & Zhiguo Xie & Xiao Li,Degrees and grammar: An East Asian perspective,2023,LANGUAGE AND LINGUISTICS
Osamu Sawada,The role of comparison in discourse: The meaning and use of the Japanese utterance comparative expressions  sore-yori-(mo)  'than that' and nani-yori-(mo) 'than anything',2023,LANGUAGE AND LINGUISTICS
Yi-Hsun Chen,Measurement and optional classifiers in Mandarin Chinese,2023,LANGUAGE AND LINGUISTICS
Yuzhen Cao & Qiongpeng Luo,The semantics of scalar equatives in Mandarin Chinese,2023,LANGUAGE AND LINGUISTICS
Anqi Zhang,Mandarin de-adjectival degree achievements as inchoative statives,2023,LANGUAGE AND LINGUISTICS
Jung-Im Chang,The grammaticalization of verbs of location movement into noun-phrase conjunctions in Archaic Chinese,2023,LANGUAGE AND LINGUISTICS
Yi-Hsun Chen,The anatomy of Chinese Superlative Modifiers: The case of Q-adjectives,2023,LANGUAGE AND LINGUISTICS
Rui-heng Ray Huang,On the syntax of assigning you constructions in Mandarin Chinese,2023,LANGUAGE AND LINGUISTICS
Gerd Jendraschek & Myung-Chul Koo,From reciprocity to competition: Subjectification of reciprocal pronouns in Korean,2023,LANGUAGE AND LINGUISTICS
Masaki Nohara,Old Chinese 'egg': More evidence for consonant clusters,2023,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Gser-Rdo: A new Tibetic language across the Rngaba‑Dkarmdzes border,2023,LANGUAGE AND LINGUISTICS
Jialei Zhu,A more special use of the third person singular pronoun in Shanghainese,2023,LANGUAGE AND LINGUISTICS
Bit-Chee Kwok,Morphological division of labor and competition between colloquial and literary readings,2023,LANGUAGE AND LINGUISTICS
Ying Liu & Gong Cheng,The semantics of Mandarin shi-clefts revisited,2023,LANGUAGE AND LINGUISTICS
Tsu-Lin Mei,Final *-ʔ as the source of Chinese rising tone (tone B),2023,LANGUAGE AND LINGUISTICS
Ruiqing Shen,Denasalization in Southern Min and voiceless sonorants in Proto-Coastal-Min,2023,LANGUAGE AND LINGUISTICS
Qianzi Tian & Jackson T.-S. Sun,Evidentiality in Dgeshes Horpa,2023,LANGUAGE AND LINGUISTICS
John Alderete & Sara Finley," Probabilistic phonology: A review of theoretical perspectives, applications, and problems",2023,LANGUAGE AND LINGUISTICS
Mathieu Beaudouin,Tangut and Horpa languages: Some shared morphosyntactic features,2023,LANGUAGE AND LINGUISTICS
Cherry Chit-yu Lam,Rethinking postverbal 'acquire' and related constructions in Cantonese: Polyfunctionality and parameters,2023,LANGUAGE AND LINGUISTICS
Meili Liu & Hubert Cuyckens,The grammaticalization of impossibility: The emergence of the Mandarin modal auxiliary wufa,2023,LANGUAGE AND LINGUISTICS
Jianqiang Sun,The {bei+verb+jiangqu} construction in pre-twelfth century Chinese: Its evolution and transcription,2023,LANGUAGE AND LINGUISTICS
 ,Acknowledgements,2023,LANGUAGE AND LINGUISTICS
